epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,2.2312229594306263,16.49,2.082567222510712,21.42
2,2.051347186193442,22.962,2.0058346956591064,26.32
3,1.9651780094941864,27.298,1.8780361942098112,31.43
4,1.7831480155515549,34.736,1.6750586666638339,38.77
5,1.5967208037291036,42.086,1.5493674308438845,43.76
6,1.4657316372522613,47.116,1.3712447957147527,50.27
7,1.3755785248163717,50.312,1.273965212363231,54.03
8,1.3066103132179632,52.904,1.237847400616996,55.44
9,1.2572516841656716,54.764,1.1955914497375488,56.81
10,1.21378731224543,56.452,1.1467423046691507,58.42
11,1.1837621421155418,57.606,1.1573848822448827,57.89
12,1.1471294765277287,58.964,1.0867340089399604,61.69
13,1.1157915407739332,60.28,1.03596635709835,62.92
14,1.086110268255024,61.376,1.0192859965034677,62.94
15,1.0620822776918826,62.176,1.0056477845469607,63.96
16,1.0338147782608675,63.338,0.9883889510661741,64.15
17,1.013489234020643,64.136,0.95262627360187,66.54
18,0.9848314508452745,65.198,0.9757334771035593,65.26
19,0.9665303600718603,65.766,0.9348049458069138,66.66
20,0.9431469545644873,66.922,0.934422964536691,67.23
21,0.9179095738684125,67.614,0.9079628722577155,68.17
22,0.9069136237854238,68.006,0.8700798184056825,69.78
23,0.8804375064342528,69.05,0.8571144251883784,69.74
24,0.8656610037054857,69.492,0.8590393768081183,69.57
25,0.8495664543203075,70.052,0.868727233590959,69.33
26,0.8325202221150898,70.734,0.800577972508684,71.74
27,0.8154571830769024,71.134,0.8194041048424153,71.07
28,0.7994295055299159,71.844,0.7898439244378971,71.92
29,0.7857991395246647,72.396,0.796914592951159,72.13
30,0.77020106275978,72.834,0.7718023521990716,72.79
31,0.7507041371082102,73.492,0.7780155403704583,73.46
32,0.7431708079622225,73.896,0.7649343526816066,73.04
33,0.7208234449786604,74.624,0.7644239633898192,73.04
34,0.7096456351792416,75.196,0.7326157922986187,74.25
35,0.695738155289989,75.336,0.7285012429273581,74.51
36,0.6812280606278374,75.944,0.7294906377792358,74.05
37,0.6728659575552587,76.186,0.7133957547477529,74.9
38,0.6611989176334323,76.676,0.7155238382423981,74.98
39,0.6448500455950227,77.268,0.7136720569827889,74.76
40,0.6318584420644414,77.742,0.735586430453047,74.61
41,0.6210792634798132,78.146,0.6879728164853929,76.46
42,0.6097288771968363,78.482,0.6794240999070904,76.63
43,0.5975552144867685,78.894,0.7036292575582673,75.41
44,0.5866019670920604,79.316,0.6827158030075363,76.09
45,0.5745967596845554,79.694,0.6874802602997309,76.05
46,0.5613267975085227,80.18,0.665210299099548,77.27
47,0.5549731137959854,80.41,0.6521293517154984,77.57
48,0.5396351926314557,80.872,0.6702010699465305,77.1
49,0.5317886916115461,81.37,0.6641736913330948,77.43
